character,line
Walter,"My name is Walter Hartwell White. I live at 308 Negra Arroyo Lane, Albuquerque, New Mexico, 87104. To all law enforcement entitles, this is not an admission of guilt. I am speaking to my family now. Skyler, you are the love of my life. I hope you know that. Walter Junior, you're my big man. There are...there are going to be some things that you'll come to learn about me in the next few days. I just want you to know that no–no matter how it may look, I only had you in my heart. Goodbye."
Jesse,Why are you here?
Walter,"I was curious. Honestly, I never expected you to amount to much, but methamphetamine? I didn't picture that. There's a lot of money in it, huh?"
Jesse,I don't know what you're talking about.
Jesse,Not a clue.
Walter,"""Cap'n Cook?"" That's not you? Like I said, no one is looking for you."
Jesse,"Look, I don't know what you think you're doing here, Mr. White. I mean, if you're planning on giving me some bull-winder about getting right with Jesus by turning myself in..."
Walter,Not really.
Jesse,"High school was a long time ago, okay? You ain't Welcome Back, Kotter, so step off. No speeches."
Walter,"Short speech. You lost your partner today. What's his name – Emilio? Emilio is going to prison. The DEA took all your money, your lab. You got nothing. Square one. But you know the business. And I know the chemistry. I'm thinking...maybe you and I could partner up."
Jesse,"You, uh...you want to cook crystal meth? You. You and, uh...and me?"
Walter,That's right. Either that...or I turn you in.
Walter,Did you learn nothing from my chemistry class?
Jesse,"No. You flunked me, remember?"
Walter,No wonder.
Jesse,"Prick! And let me tell you something else, this ain't chemistry. This is art. Cooking is art. And the shit I cook is the bomb, so don't be telling me."
Walter,The shit you cook is shit. I saw your set-up. Ridiculous. You and I will not make garbage. We will produce a chemically pure and stable product that performs as advertised. No adulterants. No baby formula. No chili powder.
Jesse,"No, no, chili P is my signature, man!"
Walter,Not anymore.
Jesse,"Dude, this isn't even seven grand, alright? My guy wants eighty-five."
Walter,This is all the money I have in the world. You're a drug dealer. Negotiate.
Jesse,"[scoffs] Y-you are not how I remember you from class. I mean, like, not at all."
Walter,"Yeah, well, I gotta go."
Jesse,"Wait, wait, hold up! (leans out the car window) Tell me why you're doing this. Seriously."
Walter,Why do you do it?
Jesse,Money! Mainly.
Walter,There you go.
Jesse,"Nah, come on... man, some straight like you, giant stick up his ass, all of a sudden at age what, 60, he's just gonna break bad?"
Walter,I'm 50.
Jesse,"It's weird, is all, okay? It doesn't compute. Listen, if you've gone crazy or something; I mean, if y- if you've gone crazy or depressed, I'm just saying... th- that's something I need to know about. Okay? I mean, that affects me."
Walter,I am awake.
Jesse,[scoffs] What?
Walter,Buy the RV. We start tomorrow.
Jesse,"Yeah, nothing but cows. Got some big cow house way out that way, like, two miles, but... I don't see nobody."
Walter,"""Cow house?"""
Jesse,"Yeah. Where they live. The cows. Yo, whatever man. Shit yeah, let's cook here."
Walter,"[mutters] ""Cow house."" God help me."
Walter,"After we finish cleaning up this mess, we will go our separate ways. Our paths will never cross and we will tell this to no one. Understood?"
Jesse,"Oh what, I can talk now? [pause] Fine! That goes double for me!"
Jesse,Oh shit.
Jesse,"Mr. White? Are you smoking weed? Oh my God! Wait a minute, is that my weed? What the hell, man? Make yourself at home, why don't you?"
Walter,So what did you end up buying?
Jesse,Nothing. No store in town sells a plastic bin big enough for a body.
Walter,"I don't suppose you could buy two bins... [makes a sawing motion] Legs in one, torso in the other?"
Jesse,God. I don't suppose you could kiss my ass?
Skyler,Who's this Jesse Pinkman to you?
Walter,He...sells me pot.
Skyler,He sells you pot?
Walter,"Marijuana, yeah. Not a lot. I mean, I don't know. I kind of like it."
Skyler,"Are you out of your mind? What are you, like sixteen years old? Your brother-in-law is a DEA agent! What is wrong with you?"
Walter,"Skyler, I just...haven't quite been myself lately."
Skyler,"Yeah, no shit. Thanks for noticing."
Walter,"I haven't been myself lately, but I love you. Nothing about that has changed, nothing ever will. So right now, what I need is for you to climb down out of my ass. Can you do that? Will you do that for me, honey? Will you please, just once, get off my ass, you know? I'd appreciate it, I really would."
